Q,PSNR,CR,BPP,MSE,Entropy
2,40.94457163564431,1.5019573447337902,5.326382954915364,5.231462478637695,0.995998447751548
2,40.91812030074448,0.9915677928837354,8.068031311035156,5.263423442840576,0.9980775037374896
2,41.03156302352839,0.9345255654650766,8.560493469238281,5.127716541290283,0.9976328616151806
2,41.11165914557353,1.382451369408795,5.786822001139323,5.0340142250061035,0.9970059681472327
2,40.88731921176023,1.0999375855576128,7.273139953613281,5.300886631011963,0.9963097540003532
2,41.037095729976265,1.2162371256586748,6.577664693196614,5.121188640594482,0.996991615930453
2,41.00020385423377,1.1759291241448917,6.803131103515625,5.164876461029053,0.9971572576932632
2,40.95240281474814,1.1709330381304546,6.8321584065755205,5.222038745880127,0.9964189951012266
2,40.91138184566543,1.1527774774857311,6.939760843912761,5.271595478057861,0.9965246801317189
2,40.8610082795437,1.3229211919095492,6.047223409016927,5.3330979347229,0.9966877228154276
2,41.00384431123527,0.8772401746042945,9.11950937906901,5.160548686981201,0.9974461363692413
2,40.96673309958642,0.9632697906130949,8.305046081542969,5.204836368560791,0.9966838122266085
2,41.50974916368842,1.4908211314917463,5.366170247395833,4.593094825744629,0.9963551068551441
2,41.094547361086775,1.0448278542109937,7.6567637125651045,5.053888320922852,0.9976329654015879
2,40.829859436453155,1.4319422657961987,5.5868174235026045,5.371484756469727,0.9959057727977463
2,40.719185888247324,1.266830652059402,6.314971923828125,5.510128498077393,0.9960978460699594
2,40.85092869725286,1.3488057791849182,5.931172688802083,5.3454909324646,0.996315191628055
2,40.941329615290854,1.446969013970484,5.528798421223958,5.23537015914917,0.9956677950332007
2,41.07935240818659,1.0507654449320902,7.613497416178386,5.071601390838623,0.9976687094294681
2,40.99147361044934,1.3532189694170158,5.9118296305338545,5.175270080566406,0.9963259591044871
2,41.01111900420253,1.5445963423388567,5.1793467203776045,5.151913166046143,0.9959503706068276
2,40.99574777134126,1.0782553375854864,7.419392903645833,5.170177936553955,0.9967977348841552
2,40.88127907486671,1.41196938284062,5.665845235188802,5.308263301849365,0.9963531599280865
2,40.80233185021121,1.245574383771447,6.422739664713542,5.405641078948975,0.9958967046607211
